Year,Nationalität,Geschlecht,Value
2021,Insgesamt,Insgesamt,24.3
2020,Insgesamt,Insgesamt,25
2019,Insgesamt,Insgesamt,26.3
2018,Insgesamt,Insgesamt,26.2
2017,Insgesamt,Insgesamt,26.1
2016,Insgesamt,Insgesamt,26.4
2015,Insgesamt,Insgesamt,26.5
2014,Insgesamt,Insgesamt,27.8
2013,Insgesamt,Insgesamt,29
2012,Insgesamt,Insgesamt,29.5
2011,Insgesamt,Insgesamt,29.7
2021,Insgesamt,Männer,31
2020,Insgesamt,Männer,31.4
2019,Insgesamt,Männer,32.5
2018,Insgesamt,Männer,32.1
2017,Insgesamt,Männer,31.4
2016,Insgesamt,Männer,31.4
2015,Insgesamt,Männer,31.4
2014,Insgesamt,Männer,33.5
2013,Insgesamt,Männer,34.8
2012,Insgesamt,Männer,35.2
2011,Insgesamt,Männer,35
2021,Insgesamt,Frauen,17.1
2020,Insgesamt,Frauen,18.1
2019,Insgesamt,Frauen,19.4
2018,Insgesamt,Frauen,19.7
2017,Insgesamt,Frauen,20.4
2016,Insgesamt,Frauen,20.9
2015,Insgesamt,Frauen,21
2014,Insgesamt,Frauen,21.6
2013,Insgesamt,Frauen,22.9
2012,Insgesamt,Frauen,23.4
2011,Insgesamt,Frauen,24.1
2021,Deutsche,Insgesamt,25.9
2020,Deutsche,Insgesamt,26.5
2019,Deutsche,Insgesamt,28.1
2018,Deutsche,Insgesamt,28.3
2017,Deutsche,Insgesamt,28.5
2016,Deutsche,Insgesamt,28.9
2015,Deutsche,Insgesamt,29
2014,Deutsche,Insgesamt,29.5
2013,Deutsche,Insgesamt,30.5
2012,Deutsche,Insgesamt,30.8
2011,Deutsche,Insgesamt,30.9
2021,Deutsche,Männer,33.4
2020,Deutsche,Männer,33.7
2019,Deutsche,Männer,35.2
2018,Deutsche,Männer,35.2
2017,Deutsche,Männer,34.9
2016,Deutsche,Männer,35.2
2015,Deutsche,Männer,35.2
2014,Deutsche,Männer,35.8
2013,Deutsche,Männer,36.5
2012,Deutsche,Männer,36.8
2011,Deutsche,Männer,36.4
2021,Deutsche,Frauen,18
2020,Deutsche,Frauen,19
2019,Deutsche,Frauen,20.6
2018,Deutsche,Frauen,21
2017,Deutsche,Frauen,21.7
2016,Deutsche,Frauen,22.3
2015,Deutsche,Frauen,22.5
2014,Deutsche,Frauen,22.8
2013,Deutsche,Frauen,23.9
2012,Deutsche,Frauen,24.4
2011,Deutsche,Frauen,25
2021,Ausländerinnen und Ausländer,Insgesamt,11.8
2020,Ausländerinnen und Ausländer,Insgesamt,12.1
2019,Ausländerinnen und Ausländer,Insgesamt,12.6
2018,Ausländerinnen und Ausländer,Insgesamt,11.5
2017,Ausländerinnen und Ausländer,Insgesamt,9.3
2016,Ausländerinnen und Ausländer,Insgesamt,7.4
2015,Ausländerinnen und Ausländer,Insgesamt,6
2014,Ausländerinnen und Ausländer,Insgesamt,8.2
2013,Ausländerinnen und Ausländer,Insgesamt,9.8
2012,Ausländerinnen und Ausländer,Insgesamt,10.2
2011,Ausländerinnen und Ausländer,Insgesamt,11.2
2021,Ausländerinnen und Ausländer,Männer,13.7
2020,Ausländerinnen und Ausländer,Männer,14.2
2019,Ausländerinnen und Ausländer,Männer,14.9
2018,Ausländerinnen und Ausländer,Männer,13.5
2017,Ausländerinnen und Ausländer,Männer,9.9
2016,Ausländerinnen und Ausländer,Männer,7.1
2015,Ausländerinnen und Ausländer,Männer,6.2
2014,Ausländerinnen und Ausländer,Männer,9.4
2013,Ausländerinnen und Ausländer,Männer,11.2
2012,Ausländerinnen und Ausländer,Männer,11.2
2011,Ausländerinnen und Ausländer,Männer,12.5
2021,Ausländerinnen und Ausländer,Frauen,9.5
2020,Ausländerinnen und Ausländer,Frauen,9.3
2019,Ausländerinnen und Ausländer,Frauen,9.2
2018,Ausländerinnen und Ausländer,Frauen,8.6
2017,Ausländerinnen und Ausländer,Frauen,8.5
2016,Ausländerinnen und Ausländer,Frauen,7.8
2015,Ausländerinnen und Ausländer,Frauen,5.7
2014,Ausländerinnen und Ausländer,Frauen,6.8
2013,Ausländerinnen und Ausländer,Frauen,8.3
2012,Ausländerinnen und Ausländer,Frauen,9
2011,Ausländerinnen und Ausländer,Frauen,9.6
